  n  |                  title                   | year | rt  | _ | rt_is_matched | t  |                                           gantt_days                                            
 174 | Some American Feminists                  |      |     |   | f             |    |              11
 175 | Some Call It Loving                      |      |     |   | f             |    |              11
 176 | Blue Velvet Revisited                    |      |  80 | o | t             |    |              1112
 177 | Suspiria                                 | 1977 |  92 | O | t             |    |              11-     ---    --     -33
 178 | Another Woman                            | 1988 |  67 | o | t             |    |              11 13
 179 | Something Wild                           | 1961 |  43 | * | t             |    |              11 13
 180 | The Dark Crystal (1982) Event            | 2018 |  74 | o | t             |    |              11 -------                                                       75
 181 | Woman in the Dunes                       | 1964 | 100 | o | t             |    |              11   - -     23
 182 | An Unmarried Woman                       | 1978 |  89 | o | t             |    |               12
 183 | Mishima: A Life in Four Chapters         |      |  88 | o | t             |    |                13
 184 | 350 Days – Legends. Champions. Survivors | 2018 |     |   | t             |  3 |                13
 185 | Beavers                                  | 1988 |     |   | t             |    |                13
 186 | MUSE: DRONES WORLD TOUR                  | 2018 |     |   | t             |  5 |                13
 187 | Kung Fu Panda 3                          | 2016 |  86 | O | t             |    |                1314
 188 | Araby                                    | 2018 |  91 | o | t             |    |                13-----19
 189 | Constructing Albert                      |      |  75 | o | t             |    |                13-----19
 190 | Bleeding Steel                           | 2018 |  27 | * | t             |    |                13-----19
 191 | Brother of the Year                      | 2018 |     |   | t             |    |                13-----19
 192 | Moss                                     | 2010 |     |   | t             |    |                13-----19
 193 | Na Band Na Baraati                       | 2018 |     |   | t             |    |                13-----19
 194 | Sharp Edges                              | 2018 |     |   | t             |    |                13-----19
 195 | Sundance Film Festival Short Films       |      |     |   | f             |    |                13-----19
 196 | Boundaries                               | 2018 |  52 | * | t             |  3 |                13-------------------33
 197 | SuperFly                                 | 2018 |  51 | * | t             | 10 |                13----------------------------42
 198 | Solo: A Star Wars Story                  | 2018 |  71 | o | t             | 14 |                13------------------------------------------------61
 199 | Book Club                                | 2018 |  53 | * | t             | 12 |                13-------------------------------------------------------68
 200 | A Quiet Place                            | 2018 |  95 | O | t             |  9 |                13----------------------------------------------------------------------------89
 201 | 2001: A Space Odyssey                    | 1968 |  92 | O | t             |    |                13------------------------  - ------ ---------------63
 202 | Isle of Dogs                             | 2018 |  89 | O | t             |  6 |                13--------- ------------------------------------------------------------------89
 203 | Marlina the Murderer in Four Acts        |      |  96 | o | t             |    |                13------- -----------33
 204 | On the Seventh Day                       | 2018 | 100 | o | t             |    |                13------- -----------------39
 205 | St. Martin's Lane                        |      |     |   | f             |    |                13---         26
 206 | Gerry                                    | 2011 |     |   | t             |    |                13-   -   - 24
 207 | Gloria                                   | 1980 |  95 | o | t             |    |                13      20
 208 | Hotel Artemis                            | 2018 |  57 | * | t             |  9 |                13             ---------------------48
 209 | Girlfriends                              | 1978 | 100 | o | t             |    |                 14
 210 | Claudine                                 | 1974 |     |   | t             |    |                 14
 211 | Met Summer Encore: Eugene Onegin         | 2018 |     |   | f             |  2 |                 14
 212 | The Metropolitan Opera: Eugene Onegin En | 2017 |     |   | t             |    |                 14
 213 | Attack on Titan: The Roar of Awakening   |      |     |   | t             |    |                 1415
 214 | My Neighbor Totoro – Studio Ghibli Fest  | 2018 |     |   | t             |    |                 1415
 215 | Spiral                                   | 2018 |  25 | * | t             |    |                 14------------------33
 216 | Walking and Talking                      | 1996 |  87 | o | t             |    |                 14 16
 217 | The Best of Everything                   | 1959 |  60 | o | t             |    |                  15
 218 | I Like It Like That                      | 1994 |  80 | o | t             |    |                  1516
 219 | My Own Private Idaho                     | 1991 |  82 | O | t             |    |                  15-----21
 220 | The Last Days of Disco                   | 1998 |  73 | o | t             |    |                  15      22
 221 | Moulin Rouge                             | 2001 |  76 | O | t             |    |                   16
 222 | Bolshoi Ballet: Giselle (Encore)         | 2018 |     |   | t             |  2 |                   16
 223 | Royal Opera House: Swan Lake             | 2018 |     |   | f             |    |                   16
 224 | Last Days                                | 2005 |  57 | * | t             |    |                   16-      24
 225 | Werckmeister Harmonies                   |      |  97 | o | t             |    |                   16 -  -            34
 226 | Old Enough                               | 1984 |     |   | t             |    |                   16       24
 227 | Up the Down Staircase                    |      |  80 | o | t             |    |                    17
